,0
0,"Ischemic postconditioning (IPoC) has been demonstrated to prevent myocardial ischemia‑reperfusion injury (MIRI), but its cardioprotective effect is abrogated by hypercholesterolemia. The aim of the present study was to determine whether lycopene (LP), a type of carotenoid, can restore the cardioprotective effect of IPoC in hypercholesterolemic rats. Male Wistar rats were fed a cholesterol‑enriched diet for 12 weeks to establish a hypercholesterolemic model. The rat hearts were isolated and subjected to 30 min ischemia and 60 min reperfusion using a Langendorff apparatus. LP was administered to the rats intraperitoneally for 5 consecutive days prior to ischemia and reperfusion. Myocardial pathological changes, infarct size and cell apoptosis were measured by hematoxylin and eosin, triphenyltetrazolium chloride and TUNEL staining, respectively. The changes in endoplasmic reticulum (ER) stress markers, the reperfusion injury salvage kinase (RISK) pathway and mitochondrial apoptosis‑related proteins were detected by western blotting. Overall, the results demonstrated that low‑dose LP in combination with IPoC ameliorated myocardial histopathological changes, reduced the infarct size and release of cardiac enzymes, and decreased cardiomyocyte apoptosis in hypercholesterolemic rats, but no beneficial effects were achieved by the same dose of LP or IPoC treatment were used alone. Furthermore, the combination of LP and IPoC inhibited the expression of glucose‑regulated protein 78 and C/EBP homologous protein, increased the phosphorylation levels of AKT, ERK1/2 and glycogen synthase kinase‑3β, repressed mitochondrial permeability transition pore opening, and reduced the expression of cytochrome c, cleaved caspase‑9 and cleaved caspase‑3. Collectively, these findings demonstrated that LP can restore the cardioprotective effects of IPoC on MIRI in hypercholesterolemic rats, and this restoration by LP was mediated by inhibition of ER stress and reactivation of the RISK pathway in hypercholesterolemic rat myocardium."
0,"Mitochondrial (mt) dysfunction and oxidative stress are involved in the pathogenesis of ischemia/reperfusion (I/R)-injury. Lycopene, a lipophilic antioxidant found mainly in tomatoes and in other vegetables and fruits, can protect mtDNA against oxidative damage. However, the role of mtDNA in myocardial I/R-injury is unclear. In the present study, we aimed to determine if and how lycopene protects cardiomyocytes from I/R-injury. In both in vitro and in vivo studies, I/R-injury increased mt 8-hydroxyguanine (8-OHdG) content, decreased mtDNA content and mtDNA transcription levels, and caused mitochondrial dysfunction in cardiomyocytes. These effects of I/R injury on cardiomycoytes were blocked by pre-treatment with lycopene. MtDNA depletion alone was sufficient to induce cardiomyocyte death. I/R-injury decreased the protein level of a key activator of mt transcription, mitochondrial transcription factor A (Tfam), which was blocked by lycopene. The protective effect of lycopene on mtDNA was associated with a reduction in mitochondrial ROS production and stabilization of Tfam. In conclusion, lycopene protects cardiomyocytes from the oxidative damage of mtDNA induced by I/R-injury."
0,"Inflammatory response and cardiomyocyte apoptosis are important processes in ventricular remodeling post-myocardial infarction (MI) and may form the basic mechanisms in the development of chronic heart failure. The nuclear factor κB (NF-κB) signaling pathway could promote inflammation and apoptosis and it has been demonstrated that lycopene inhibits cigarette smoke extract-mediated NF-κB activation. Therefore, it was hypothesized that the NF-κB signaling pathway may be a key target of lycopene in the reversal of ventricular remodeling post MI. An MI model was established by left anterior descending coronary artery ligation in mice. Following ligation, the mice were administered with lycopene (10 mg/kg/day) or saline. The mice underwent echocardiography and were sacrificed after 4 weeks. The mRNA expression of fibrosis markers transforming growth factor-β1 (TGF-β1), collagen I and III and inflammatory markers tumor necrosis factor-α (TNF-α) and interleukin-1β (IL-1β) were examined by quantitative polymerase chain reaction. The protein expression of apoptotic markers, including caspase-3, -8, -9 and activation of the NF-κB signaling pathway were analyzed by western blotting. Lycopene reduced the expression of TGF-β1, collagen I, collagen III, TNF-α, IL-1β, caspase-3, -8 and -9 and inhibited the activation of the NF-κB signaling pathway. The level of ventricular remodeling post-MI was also attenuated following treatment with lycopene. Lycopene may inhibit the NF-κB signaling pathway thereby reducing the inflammatory response and cardiomyocyte apoptosis post-MI, which could be a key mechanism of lycopene in attenuating ventricular remodeling."
0,"Endoplasmic reticulum (ER) stress induced apoptosis plays a pivotal role in myocardial ischemia/reperfusion (I/R)-injury. Inhibiting ER stress is a major therapeutic target/strategy in treating cardiovascular diseases. Our previous studies revealed that lycopene exhibits great pharmacological potential in protecting against the I/R-injury in vitro and vivo, but whether attenuation of ER stress (and) or ER stress-induced apoptosis contributes to the effects remains unclear. In the present study, using neonatal mouse cardiomyocytes to establish an in vitro model of hypoxia/reoxygenation (H/R) to mimic myocardium I/R in vivo, we aimed to explore the hypothesis that lycopene could alleviate the ER stress and ER stress-induced apoptosis in H/R-injury. We observed that lycopene alleviated the H/R injury as revealed by improving cell viability and reducing apoptosis, suppressed reactive oxygen species (ROS) generation and improved the phosphorylated AMPK expression, attenuated ER stress as evidenced by decreasing the expression of GRP78, ATF6 mRNA, sXbp-1 mRNA, eIF2α mRNA and eIF2α phosphorylation, alleviated ER stress-induced apoptosis as manifested by reducing CHOP/GADD153 expression, the ratio of Bax/Bcl-2, caspase-12 and caspase-3 activity in H/R-treated cardiomyocytes. Thapsigargin (TG) is a potent ER stress inducer and used to elicit ER stress of cardiomyocytes. Our results showed that lycopene was able to prevent TG-induced ER stress as reflected by attenuating the protein expression of GRP78 and CHOP/GADD153 compared to TG group, significantly improve TG-caused a loss of cell viability and decrease apoptosis in TG-treated cardiomyocytes. These results suggest that the protective effects of lycopene on H/R-injury are, at least in part, through alleviating ER stress and ER stress-induced apoptosis in neonatal mouse cardiomyocytes. "
0,To investigate the possible mechanism of lycopene on protecting against hypoxia/reoxygenation (H/R)-injury.
1,"Primary cultured cardiomyocytes, isolated from neonatal mouse, were divided into three groups randomly: control group (C) ; H/R group(4 h H followed by 8 h R); lycopene+H/R group(L+H/R), in which the cardiomyocytes were pretreated with lycopene for 4 h before H/R. The survival of cardiomyocytes was counted. Apoptotic cells were detected by TUNEL assays. The release of cytochrome c from mitochondrial matrix into the cytosol, the activity of caspase-3, intracellular ROS levels and the activity of calpain were also determined in these groups respectively at the same time."
2,"The pretreatment of cardiomyocytes with lycopene significantly improved the survival of cardiomyocytes [C: (89.84 ± 5.15)%, H/R: (63.59 ± 5.11)%, L+H/R: (79.25 ± 1.48)%, P < 0.05] and reduced the extent of apoptosis [C: ( 10.37 ± 1.25)%, H/R: (32.03 ± 4.79)%, L+H/R: (22.57 ± 3.22)%, P < 0.05], significantly reduced caspase-3 activation [C: (2.61 ± 0.19), H/R: (5.82 ± 0.92), L+H/R: (3.74 ± 0.64) pNA pmol/µg protein, P < 0.05]. To further study the mechanism underlying the benefits of lycopene, interactions between lycopene and calpain activation were examined. Lycopene pretreatment of cardiomyocytes suppressed the activation of calpain(C:272.33 ± 300.46, H/R: 1156.00 ± 212.02, L+H/R: 607.33 ± 166.23, P < 0.05) by reducing the H/R induced increased intracellular ROS levels [C: 100%, H/R: (239.79 ± 27.27)%, L+H/R: (188.19 ± 17.63)%, P < 0.05]."
3,Lycopene may protect against hypoxia/reoxygenation-induced injury by preventing calpain activation.
0,"This study was designed to investigate the impact of dietary lycopene (antioxidant extracted from tomato) supplementation on postmortem antioxidant capacity, drip loss and protein expression profiles of lamb meat during storage. Thirty male Hu lambs were randomly divided into three treatment groups and housed in individual pens and received 0, 200 or 400 mg·kg<sup>-1</sup> lycopene in their diet, respectively. All lambs were slaughtered after 3 months of fattening, and the longissimus thoracis (LT) muscle was collected for analyses. The results indicated that drip loss of LT muscle increased with storage days (<i>P</i> < 0.05). After storage for 7 days, significantly lower drip loss of meat was found in fed the lycopene-supplemented diet (<i>P</i> < 0.05). Dietary lycopene supplementation increased the activity of antioxidant enzymes (total antioxidant capacity (T-AOC), superoxide dismutase (SOD), glutathione peroxidase (GSH-Px), catalase (CAT)) (<i>P</i> < 0.05) and decreased the thiobarbituric acid reactive substance (TBARS) and carbonyl contents (<i>P</i> < 0.05). During the storage period (days 0, 5 and 7), a number of differentially abundant proteins (DAPs), including oxidases, metabolic enzymes, calcium channels and structural proteins, were identified based on iTRAQ data, with roles predominantly in carbon metabolism, oxidative phosphorylation, cardiac muscle contraction and proteasome pathways, and which contribute to decreased drip loss of lamb meat during storage. It can be concluded that dietary lycopene supplementation increased antioxidant capacity after slaughter, and the decreased drip loss during postmortem storage might occur by changing the expression of proteins related to enzyme activity and cellular structure in lamb muscle."
0,"Lycopene (Ly) is a kind of hydrocarbon, which belongs to the family of tetraterpene carotene and exists in red fruits and vegetables. The decrease of capillary density and blood flow with age is a significant reason for the increase of mortality and morbidity. Herein, our study aims to explore the effects of Ly (a bioactive food compound) on vascular aging in vitro and in vivo and its potential mechanisms. The cytological results showed that Ly could promote the proliferation of human umbilical vein endothelial cell (HUVECs) and enhance the ability of HUVECs to form capillary-like structures. Furthermore, the expression of SIRT1 in aged HUVECs was up-regulated. In vivo, aging rats showed signs of insulin resistance and blood vessel damage. Additionally, the capillary density and blood flow were reduced during the vascular aging process in both D-gal-induced and naturally aging muscle. However, when Ly was given, these conditions could be reversed. Simultaneously, the contents of ATP, lactic acid and pyruvic acid were determined, and it was found that Ly could promote angiogenesis by increasing the utilization rate of glucose and promoting energy metabolism. Finally, in the insulin resistance cell model, we knocked down the SIRT1 and administrated with Ly, and found that it couldn't restore insulin transdution. In conclusion, all the data in this study demonstrate that Ly could reactivate SIRT1 and improve insulin resistance, which was a reversible cause of vascular aging."
0,"Peripheral nerves are commonly damaged. Although the nerve autograft still subsists the gold standard in surgery of nerve injury gaps, it has severe detriment. The egg shell membrane (ESM) is a natural material, which has a great potential in practice. The aim of this survey was to appraise the effect of lycopene and the ESM nerve guidance channel on sciatic nerve regeneration."
1,"In this study, 32 male rats were randomized into four groups: sham surgery, autograft, ESM+ dimethyl sulfoxide (DMSO), and ESM+lycopene. One centimeter of sciatic nerve was removed, and the gap was grafted by ESM channel or autograft. The sciatic function index (SFI) was evaluated at days 7, 21, 30, 49, 60 and 90 after surgery. Nerve regeneration and gastroknemius muscle fibers were evaluated at days 30 and 90 after surgery by withdrawal reflex latency (WRL), histology and immunohistology assessments."
2,"At 49, 60 and 90 days after surgery, the mean SFI in ESM+lycopene group was significantly greater than ESM+DMSO group (<i>P<</i>0.05). On day 90, the mean muscle fiber diameters and the mean number of myelinated axons in ESM+lycopene and autograft groups were significantly greater than ESM+DMSO group (<i>P<</i>0.05). In addition, the mean WRL was significantly lower in ESM+lycopene group than in the ESM+DMSO group 90 days after surgery (<i>P<</i>0.05)."
3,The results of this study show that the affirmative effects of ESM+lycopene may be beneficial for treating peripheral nerve damages.
0,Oxidative damage to cellular components such as lipids and cell membranes by free radicals and reactive oxygen species (ROS) is thought to be associated with the development of degenerative diseases. Fluoride intoxication is associated with oxidative stress and altered anti-oxidant defense mechanism. Lycopene is a lipid-soluble powerful anti-oxidant that scavenges free radicals and ROS.
1,This study was extended to investigate lycopene anti-oxidant efficacy in different organs of fluoride-intoxicated rats.
2,"Twenty-four adult rats were randomly divided into four groups of six animals each. Rats in group I received daily doses of vehicle. Group II rats were given lycopene (10 mg/kg body weight/day), by tubes, dissolved in 0.5 ml of corn oil for 5 weeks. Group III rats were given sodium fluoride (NaF) (10.3 mg/kg body weight/day), by tubes, for 5 weeks. In group IV rats, lycopene was administered 1 h later and NaF was administered for 5 weeks."
3,"NaF administration induced oxidative stress as evidenced by elevated levels of lipid peroxidation (51.3, 65.9 and 67.6%) measured as malondialdehyde and total nitrate/nitrite (61.0, 59.7 and 68.9%) in red blood cells, heart and brain tissues. Moreover, significantly decreased reduced glutathione level, total anti-oxidant capacity and superoxide dismutase activity were observed in the examined tissues. The induced oxidative stress and the alterations in anti-oxidant system were normalized by the oral administration of lycopene treatment."
4,Lycopene administration could minimize the toxic effects of fluoride indicating its free-radical scavenging and powerful anti-oxidant activities.
0,"Cardiovascular diseases (CVDs) result from the sub-endothelial accumulation of inflammatory cells and smooth muscle cells (SMCs). Lycopene, a natural compound from tomato, has been suggested to play a role in CVD prevention. However, its action mechanism is still largely unknown. In this study, we examined the effect of lycopene on SMCs. We found that preincubation of PDGF-BB with lycopene resulted in a marked inhibition on PDGF-BB-induced PDGF receptor-beta (PDGFR-beta), PLCgamma, and ERK1/2 phosphorylation in rat A10 SMCs and primary cultured aortic SMCs. In striking contrast, lycopene did not influence EGF-induced ERK1/2 phosphorylation. Surprisingly, further analysis indicates that lycopene could directly bind PDGF-BB and inhibit PDGF-BB-SMC interaction, as determined by dot binding assay and Western blotting. In functional studies, lycopene inhibited PDGF-BB-induced SMC proliferation and migration toward gelatin and collagen at concentrations ranging from 2 to 10 microM. On the contrary, lycopene did not inhibit bFGF- and VEGF-induced endothelial cell migration. Gelatin zymography demonstrated that lycopene's effect on SMC migration was not due to the inhibition of matrix metalloproteinases (MMPs). Taken together, our results provide the first evidence showing that lycopene inhibits PDGF-BB-induced signaling, proliferation and migration in rat A10 and aortic SMCs. One of the action mechanisms is that lycopene is capable of binding PDGF-BB and inhibiting its interaction with SMC, which is quite different from those previously developed PDGFR-beta antagonists. The results presented here may help us to better understand the beneficial effects of lycopene in CVD prevention."
0,"Hypoxia/reoxygenation(H/R)-induced apoptosis of cardiomyocytes plays an important role in myocardial injury. Lycopene is a potent antioxidant carotenoid that has been shown to have protective properties on cardiovascular system. The aim of the present study is to investigate the potential for lycopene to protect the cardiomyocytes exposed to H/R. Moreover, the effect on mitochondrial function upon lycopene exposure was assessed."
1,"Primary cardiomyocytes were isolated from neonatal mouse and established an in vitro model of H/R which resembles ischemia/reperfusion in vivo. The pretreatment of cardiomyocytes with 5 µM lycopene significantly reduced the extent of apoptosis detected by TUNEL assays. To further study the mechanism underlying the benefits of lycopene, interactions between lycopene and the process of mitochondria-mediated apoptosis were examined. Lycopene pretreatment of cardiomyocytes suppressed the activation of the mitochondrial permeability transition pore (mPTP) by reducing the intracellular reactive oxygen species (ROS) levels and inhibiting the increase of malondialdehyde (MDA) levels caused by H/R. Moreover, the loss of mitochondrial membrane potential, a decline in cellular ATP levels, a reduction in the amount of cytochrome c translocated to the cytoplasm and caspase-3 activation were observed in lycopene-treated cultures."
2,"The present results suggested that lycopene possesses great pharmacological potential in protecting against H/R-induced apoptosis. Importantly, the protective effects of lycopene may be attributed to its roles in improving mitochondrial function in H/R-treated cardiomyocytes."
0,"Strenuous exercise is known to induce oxidative stress leading to the generation of free radicals. The purpose of the present study was to investigate the effects of lycopene, an antioxidant nutrient, at a relatively low dose (2.6 mg/kg per d) and a relatively high dose (7.8 mg/kg per d) on the antioxidant status of blood and skeletal muscle tissues in rats after exhaustive exercise. Rats were divided into six groups: sedentary control (C); sedentary control with low-dose lycopene (CLL); sedentary control with high-dose lycopene (CHL); exhaustive exercise (E); exhaustive exercise with low-dose lycopene (ELL); exhaustive exercise with high-dose lycopene (EHL). After 30 d, the rats in the three C groups were killed without exercise, but the rats in the three E groups were killed immediately after an exhaustive running test on a motorised treadmill. The results showed that xanthine oxidase (XO) activities of plasma and muscle, and muscular myeloperoxidase (MPO) activity in group E were significantly increased compared with group C. Compared with group E, the elevations of XO and MPO activities of muscle were significantly decreased in group EHL. The malondialdehyde concentrations of plasma and tissues in group E were significantly increased by 72 and 114 %, respectively, compared with those in group C. However, this phenomenon was prevented in rats of the ELL and EHL groups. There was no significant difference in the GSH concentrations of erythrocytes in each group; however, exhaustive exercise resulted in a significant decrease in the GSH content of muscle. In conclusion, these results suggested that lycopene protected muscle tissue from oxidative stress after exhaustive exercise."
0,"This double-blind, randomized, placebo-controlled crossover trial determined if ingestion of a supplement containing a tomato complex with lycopene, phytoene, and phytofluene (T-LPP) and other compounds for 4 weeks would attenuate inflammation, muscle damage, and oxidative stress postexercise and during recovery from a 2-hr running bout that included 30 min of -10% downhill running. Study participants ingested the T-LPP supplement or placebo with the evening meal for 4 weeks prior to running 2 hr at high intensity. Blood samples and delayed onset muscle soreness ratings were taken pre- and post-4-week supplementation, and immediately following the 2-hr run, and then 1-hr, 24-hr, and 48-hr postrun. After a 2-week washout period, participants crossed over to the opposite treatment and repeated all procedures. Plasma lycopene, phytoene, and phytofluene increased significantly in T-LPP compared with placebo (p < .001 for each). Significant time effects were shown for serum creatine kinase, delayed onset muscle soreness, C-reactive protein, myoglobin, 9- and 13-hydroxyoctadecadienoic acids, ferric reducing ability of plasma, and six plasma cytokines (p < .001 for each). The pattern of increase for serum myoglobin differed between T-LPP and placebo (interaction effect, p = .016, with lower levels in T-LPP), but not for creatine kinase, delayed onset muscle soreness, C-reactive protein, the six cytokines, 9- and 13-hydroxyoctadecadienoic acids, and ferric reducing ability of plasma. No significant time or interaction effects were measured for plasma-oxidized low-density lipoprotein or serum 8-hydroxy-2'-deoxyguanosine. In summary, supplementation with T-LPP over a 4-week period increased plasma carotenoid levels 73% and attenuated postexercise increases in the muscle damage biomarker myoglobin, but not inflammation and oxidative stress."
0,"The present study was designed to evaluate the cardioprotective potential of lycopene (LCP) against isoproterenol (ISP)-induced myocardial infarction (MI), by assessing hemodynamic, biochemical and histopathological parameters. Wistar male albino rats were orally administered with LCP (0.5, 1.0 and 1.5 mg/kg) or with vehicle for 30 days, with concurrent subcutaneous injections of ISP (85 mg/kg) on days 28 and 29. ISP significantly (p < 0.05) decreased systolic, diastolic and mean arterial blood pressure (SAP, DAP and MAP, respectively) and heart rate (HR). ISP also decreased contractility (+LVdP/dt), relaxation (-LVdP/dt) and increased left ventricular end-diastolic pressure (LVEDP). In addition to functional impairment, ISP also caused a significant (p < 0.05) decrease in antioxidants, namely, superoxide dismutase (SOD), catalase (CAT), glutathione peroxidase (GSHPx), glutathione (GSH), cardiac injury marker enzymes, creatine phosphokinase-MB (CK-MB) and lactate dehydrogenase (LDH), as well as induced lipid peroxidation, malonaldialdehyde (MDA) and histopathological alterations in heart. However, pretreatment with LCP significantly (p < 0.05) attenuated ISP-induced cardiac dysfunction as evidenced by improved SAP, DAP, MAP, HR, (±)LVdP/dt and reduced LVEDP. Pretreatment with LCP also significantly (p < 0.05) prevented the depletion of antioxidants (SOD, CAT, GSHPx and GSH), myocyte injury marker enzymes (CK-MB and LDH) and inhibited lipid peroxidation and MDA formation in the heart. Furthermore, reduced necrosis, edema and infiltration of inflammatory cells on histopathological examination also depicted the protective effect of LCP against the deleterious effect of ISP. Based on the results, it is suggested that LCP possesses significant cardioprotective potential and may serve as an adjunct in treatment and prophylaxis of MI."
0,"Natural compounds are known to modify NO content in tissues; however, the biological activity of polyphenol-rich food often does not correspond to the effects of individual polyphenols on NO synthase activity. The aim of this study was to see how natural compounds luteolin, indole-3-carbinol, and lycopene modify NO production in rat tissues and change the expression of the iNOS gene and protein. Indole-3-carbinol produced multiple effects on the NO level; it significantly decreased NO concentration in blood, lungs, and skeletal muscles and increased it in the liver. Indole-3-carbinol enhanced lipopolyssaccharide (LPS)-induced NO production in all rat organs. It decreased iNOS gene expression in the brain cortex of animals that did not receive LPS and up-regulated it in the LPS-treated animals. Lycopene increased the iNOS gene transcription rate in the brain cortex of LPS-treated animals. Luteolin did not modify NO production in any organ of LPS-untreated rats, nor did it affect gene expression in the liver. In the brain it slightly decreased iNOS gene expression. Luteolin decreased NO production in the blood of LPS-treated animals and the number of iNOS-positive cells in these animals. Our results suggest that changes in tissue NO levels caused by natural compounds cannot be predicted from their effect on NOS expression or activity obtained in model systems. This stresses the importance of direct measurements of NO and NOS expression in animal tissues."
0,"The present study was carried out to evaluate the protective role of lycopene on cytotoxicity induced by mercury in albino mice. The animals were randomly divided into seven groups. Group I (control) were treated with tap water Group II (positive control) were treated with 20 mg kg(-1) d(-1) lycopene, Group III were treated with 10 mg kg(-1) body weight mercury Group IV were treated with 10 mg kg(-1) body weight mercury + 5 mg kg(-1) d(-1) lycopene, Group V were treated with 10 mg kg(-1) body weight mercury + 10 mg kg(-1) d(-1) lycopene, Group VI were treated with 10 mg kg(-1) body weight mercury + 15 mg kg(-1) d(-1) lycopene, Group VII were treated with 10 mg kg(-1) body weight mercury + 20 mg kg(-1) d(-1) lycopene once a day for 20 consecutive days by oral gavage. The initial and final weights of all mice were measured by sensitive balance in order to investigate the effect of mercury and lycopene on the body weight of mice. Then, MN slides were prepared using the standard MN assay technique with Giemsa staining from erythrocyte cells of each mouse and were scored using binocular light microscope (Japan, Olympus BX 51). The results indicated that, all lycopene-supplemented lymphocytes showed a lower MN frequency than lymphocytes in only mercury-treated group. It was seen that lycopene had protective effect on MN particularly at 20 mg kg(-1) d(-1) dose when compared with the other doses. Besides, weight gain increased depending on dose of applied lycopene when compared with only mercury-treated group. In histopathological examinations, although it has been observed severe changes such as hemorrhage, hepatocyte degeneration and tubular degeneration of kidney in only mercury-treated group, there was an observable regression on the severity and account of these lesions in tissues of mice supplemented with different doses of lycopene. In vivo results showed that the lycopene supplementation decreases cytotoxicity induced by mercury and its protective role is dose-dependent."
0,"Increasing evidence suggests that lycopene may protect against atherosclerosis, although, the exact mechanism(s) is still unknown. Because lycopene is an efficient antioxidant, it has been proposed for a long time that this property may be responsible for its beneficial effects. Consistent with this, the carotenoid has been demonstrated to inhibit ROS production in vitro and to protect LDL from oxidation. However, recently, other mechanisms have been evoked and include: prevention of endothelial injury; modulation of lipid metabolism through a control of cholesterol synthesis and oxysterol toxic activities; reduction of inflammatory response through changes in cytokine production; inhibition of smooth muscle cell proliferation through regulation of molecular pathways involved in cell proliferation and apoptosis. Focusing on cell culture studies, this review summarizes the experimental evidence for a role of lycopene in the different phases of atherosclerotic process."
0,"Benign prostatic hyperplasia (BPH) is a major health concern that is likely to have an increasing impact in line with the gradual aging of the population. BPH is characterized by smooth muscle and epithelial proliferation primarily within the prostatic transition zone that can cause a variety of problems for patients, the most frequent are the lower urinary tract symptoms. BPH is thought to involve in disruption of dihydrotestosterone (DHT)-supported homeostasis between cell proliferation and cell death, and, as a result, proliferative processes predominate and apoptotic processes are inhibited. Phytotherapeutic supplements, mainly based on Saw Palmetto-derived Serenoa Repens (SeR), are numerous and used frequently. Serenoa Repens reduces inflammation and decreases in vivo the androgenic support to prostatic cell growth. Furthermore, SeR stimulates the apoptotic machinery; however, data supporting efficacy is limited, making treatment recommendations difficult. Besides SeR, selenium (Se), an essential trace element mainly functioning through selenoproteins and able to promote an optimal antioxidant/oxidant balance, and lycopene (Ly), a dietary carotenoid synthesized by plants, fruits, and microorganisms with a strong antioxidant activity, has been shown to exert beneficial effects in prostate disease. SeR is frequently associated with Ly and Se, in order to increase its therapeutic activity in benign prostatic hyperplasia (BPH). It has been shown that the Ly-Se-SeR association has a greater and enhanced antiinflammatory activity that might be of particular interest in the treatment of BPH. The Ly-Se-SeR association is also more effective than SeR alone in reducing prostate weight and hyperplasia, in augmenting the pro-apoptotic Bax and caspase-9 and blunting the anti-apoptotic Bcl-2 mRNA. In addition, Ly-Se-SeR more efficiently suppresses the EGF and Vascular Endothelial Growth Factor (VEGF) expressions in hyperplastic prostates. Therefore, SeR particularly when combined with Se and Ly may have a greater potential for the management of benign prostate hyperplasia."
0,"The mechanism of doxorubicin-induced cardiotoxicity remains controversial. Wistar rats (n=96) were randomly assigned to a control (C), lycopene (L), doxorubicin (D), or doxorubicin+lycopene (DL) group. The L and DL groups received lycopene (5 mg/kg body wt/day by gavage) for 7 weeks. The D and DL groups received doxorubicin (4 mg/kg body wt intraperitoneally) at 3, 4, 5, and 6 weeks and were killed at 7 weeks for analyses. Myocardial tissue lycopene levels and total antioxidant performance (TAP) were analyzed by HPLC and fluorometry, respectively. Lycopene metabolism was determined by incubating (2)H(10)-lycopene with intestinal mucosa postmitochondrial fraction and lipoxygenase and analyzed with HPLC and APCI mass spectroscopy. Myocardial tissue lycopene levels in DL and L were similar. TAP adjusted for tissue protein were higher in myocardium of D than those of C (P=0.002). Lycopene metabolism study identified a lower oxidative cleavage of lycopene in D as compared to those of C. Our results showed that lycopene was not depleted in myocardium of lycopene-supplemented rats treated with doxorubicin and that higher antioxidant capacity in myocardium and less oxidative cleavage of lycopene in intestinal mucosa of doxorubicin-treated rats suggest an antioxidant role of doxorubicin rather than acting as a prooxidant."
0,"Doxorubicin is an excellent chemotherapeutic agent utilized for several types of cancer but the irreversible doxorubicin-induced cardiac damage is the major limitation for its use. Oxidative stress seems to be associated with some phase of the toxicity mechanism process. To determine if lycopene protects against doxorubicin-induced cardiotoxicity, male Wistar rats were randomly assigned either to control, lycopene, doxorubicin or doxorubicin + lycopene groups. They received corn oil (control, doxorubicin) or lycopene (5 mg/kg body weight a day) (lycopene, doxorubicin + lycopene) by gavage for a 7-week period. They also received saline (control, lycopene) or doxorubicin (4 mg/kg) (doxorubicin, doxorubin + lycopene) intraperitoneally by week 3, 4, 5 and 6. Animals underwent echocardiogram and were killed for tissue analyses by week 7. Mean lycopene levels (nmol/kg) in liver were higher in the doxorubicin + lycopene group (5822.59) than in the lycopene group (2496.73), but no differences in lycopene were found in heart or plasma of these two groups. Lycopene did not prevent left ventricular systolic dysfunction induced by doxorubicin. However, morphologic examination revealed that doxorubicin-induced myocyte damage was significantly suppressed in rats treated with lycopene. Doxorubicin treatment was followed by increase of myocardium interstitial collagen volume fraction. Our results show that: (i) doxorubicin-induced cardiotoxicity was confirmed by echocardiogram and morphological evaluations; (ii) lycopene absorption was confirmed by its levels in heart, liver and plasma; (iii) lycopene supplementation provided myocyte protection without preventing interstitial collagen accumulation increase; (iv) doxorubicin-induced cardiac dysfunction was not prevented by lycopene supplementation; and (v) lycopene depletion was not observed in plasma and tissues from animals treated with doxorubicin."
0,"The efficacy of lycopene to limit myocardial injury after ischemia and reperfusion was explored in the present study. Adult male albino Wistar rats were divided into three experimental groups and orally received olive oil as vehicle (sham and control I-R) or lycopene 1 mg/kg dissolved in olive oil (lycopene treated group) respectively for 31 days. On the 31st day, animals of the control I-R and lycopene treated groups were subjected to 45 min of occlusion of the LAD coronary artery and were thereafter reperfused for 1 h. The ischemia-reperfusion injury resulted in significant cardiac necrosis, depression in hemodynamics, decline in antioxidant status and rise in lipid peroxidation product levels in the control I-R group as compared to sham control. In histopathological examinations myocardial damage produced after I-R was significantly prevented in the lycopene treated group. Lycopene treatment resulted in preservation of the myocardial antioxidant status and altered hemodynamic parameters as compared to control I-R group. Furthermore, I-R-induced lipid peroxidation was significantly inhibited in the lycopene treated group. These beneficial cardioprotective effects also translated into the functional recovery of the heart. The beneficial effect of lycopene likely results from the suppression of oxidative stress, which results in the reduction of myocardial injury."
0,"Leiomyomas (fibroids) are benign tumors of the uterus affecting millions of women. Spontaneous leiomyomas of the oviduct are common tumors of the Japanese quail (Coturnix coturnix japonica), which makes it a good animal model for screening potential agents for testing in the prevention and treatment of human myoma uteri. Because dietary intake of lycopene has been associated with a reduced risk of a variety of human cancers, we investigated the effects of lycopene supplementation on the development of leiomyomas in the oviduct of Japanese quail. We also measured serum levels of oxidative stress markers [malondialdehyde (MDA) and homocysteine], lycopene, vitamins C, E, and A, and tissue biomarkers Bcl-2 and Bax expression. One hundred twenty quails (6 mo old) were assigned to 3 treatment groups consisting of 4 replicates of 10 birds in each group. Birds were fed either a basal diet (group C) or the basal diet supplemented with 100 mg (group L1) or 200 mg (group L2) of lycopene per kilogram of diet. The animals were sacrificed after 285 days and the tumors were identified. Lycopene supplementation decreased the number of leiomyomas compared with control subjects (P=0.056). The tumors in lycopene-fed birds were smaller than those found in control birds (P=0.01). There were no significant differences in the expression of tissue Bcl-2 and Bax among the study groups. Serum vitamins C, E, and A increased (P=0.01), whereas MDA and homocysteine concentrations decreased (P=0.01) with lycopene supplementation. No measurable lycopene could be detected in the serum of control birds, whereas a dose-dependent increase was observed in the serum of lycopene-supplemented birds. The results indicate that dietary supplementation with lycopene reduces the incidence and size of spontaneously occurring leiomyoma of the oviduct in the Japanese quail. Clinical trials should be conducted to investigate the efficacy of lycopene supplementation in the prevention and treatment of uterine leiomyoma in humans."
